codigo,acao,tipo,qtd_teorica,participacao_relativa
ABEV3,AMBEV S/A,ON,4386652506,3.380
ALPA4,ALPARGATAS,PN N1,202765994,0.082
ALSO3,ALIANSCSONAE,ON NM,532365440,0.525
ARZZ3,AREZZO CO,ON NM,60758326,0.219
ASAI3,ASSAI,ON ED NM,1190824431,0.796
AZUL4,AZUL,PN N2,327646296,0.194
B3SA3,B3,ON NM,5733398051,3.644
BBAS3,BRASIL,ON NM,1420731069,3.314
BBDC3,BRADESCO,ON N1,1500631902,1.014
BBDC4,BRADESCO,PN N1,5146612491,3.879
BBSE3,BBSEGURIDADE,ON NM,671682536,1.254
BEEF3,MINERVA,ON ED NM,260340982,0.121
BPAC11,BTGP BANCO,UNT N2,1225470424,1.562
BRAP4,BRADESPAR,PN ED N1,251008334,0.324
BRFS3,BRF SA,ON NM,1076512610,0.371
BRKM5,BRASKEM,PNA N1,265212486,0.286
CASH3,MELIUZ,ON ES NM,691552778,0.032
CCRO3,CCR SA,ON ED NM,998462635,0.737
CIEL3,CIELO,ON NM,1095401258,0.325
CMIG4,CEMIG,PN ED N1,1442098974,0.969
CMIN3,CSNMINERACAO,ON N2,1110550596,0.273
COGN3,COGNA ON,ON NM,1815524541,0.202
CPFE3,CPFL ENERGIA,ON NM,187732538,0.317
CPLE6,COPEL,PNB N2,1563365506,0.682
CRFB3,CARREFOUR BR,ON NM,528743156,0.309
CSAN3,COSAN,ON NM,1171063698,0.955
CSNA3,SID NACIONAL,ON,589695175,0.417
CVCB3,CVC BRASIL,ON NM,275967676,0.041
CYRE3,CYRELA REALT,ON NM,274142301,0.231
DXCO3,DEXCO,ON NM,274863424,0.088
EGIE3,ENGIE BRASIL,ON NM,255208461,0.573
ELET3,ELETROBRAS,ON ED N1,2019004498,3.719
ELET6,ELETROBRAS,PNB ED N1,275526814,0.546
EMBR3,EMBRAER,ON NM,734632205,0.776
ENBR3,ENERGIAS BR,ON NM,246028184,0.301
ENEV3,ENEVA,ON NM,1577877205,0.975
ENGI11,ENERGISA,UNT N2,248477689,0.565
EQTL3,EQUATORIAL,ON NM,1115920673,1.637
EZTC3,EZTEC,ON NM,94318339,0.075
FLRY3,FLEURY,ON NM,402677569,0.318
GGBR4,GERDAU,PN N1,1093112629,1.498
GOAU4,GERDAU MET,PN N1,667194478,0.423
GOLL4,GOL,PN N2,218221868,0.079
HAPV3,HAPVIDA,ON NM,4324011467,0.649
HYPE3,HYPERA,ON NM,400842480,0.813
IGTI11,IGUATEMI S.A,UNT ED N1,215741055,0.239
IRBR3,IRBBRASIL RE,ON NM,81445253,0.139
ITSA4,ITAUSA,PN N1,5014245900,2.369
ITUB4,ITAUUNIBANCO,PN N1,4801630041,6.769
JBSS3,JBS,ON NM,1134986483,1.106
KLBN11,KLABIN S/A,UNT N2,701899756,0.731
LREN3,LOJAS RENNER,ON NM,950702967,0.820
LWSA3,LOCAWEB,ON NM,430758874,0.123
MGLU3,MAGAZ LUIZA,ON NM,2874188573,0.522
MRFG3,MARFRIG,ON NM,292587273,0.104
MRVE3,MRV,ON NM,305322465,0.120
MULT3,MULTIPLAN,ON N2,266933994,0.376
NTCO3,GRUPO NATURA,ON NM,838904847,0.505
PCAR3,P.ACUCAR-CBD,ON NM,157889627,0.129
PETR3,PETROBRAS,ON EDR N2,2990884064,4.341
PETR4,PETROBRAS,PN EDR N2,4566511125,5.890
PETZ3,PETZ,ON ED NM,335865260,0.113
PRIO3,PETRORIO,ON NM,839159130,1.587
RADL3,RAIADROGASIL,ON ED NM,1119187853,1.601
RAIL3,RUMO S.A.,ON ED NM,1215642613,1.303
RAIZ4,RAIZEN,PN N2,1200488532,0.208
RDOR3,REDE D OR,ON NM,1095177074,1.363
RENT3,LOCALIZA,ON NM,773535098,2.442
RRRP3,3R PETROLEUM,ON ES NM,234689601,0.404
SANB11,SANTANDER BR,UNT EJ,355642848,0.520
SBSP3,SABESP,ON NM,340002999,0.833
SLCE3,SLC AGRICOLA,ON NM,96272020,0.228
SMTO3,SAO MARTINHO,ON NM,143294210,0.245
SOMA3,GRUPO SOMA,ON NM,490736222,0.222
SUZB3,SUZANO S.A.,ON NM,726823001,1.574
TAEE11,TAESA,UNT N2,218568234,0.434
TIMS3,TIM,ON EJ NM,808436195,0.616
TOTS3,TOTVS,ON NM,513869896,0.718
UGPA3,ULTRAPAR,ON NM,1087887681,0.855
USIM5,USIMINAS,PNA ED N1,515014562,0.202
VALE3,VALE,ON NM,4035078991,15.899
VBBR3,VIBRA,ON NM,1114442976,0.801
VIIA3,VIA,ON NM,1576975642,0.158
VIVT3,TELEF BRASIL,ON,423091712,0.947
WEGE3,WEG,ON NM,1260665218,2.821
YDUQ3,YDUQS PART,ON NM,296015511,0.131
